Informe del historial de trading,,,,,,,,,,,,,,
Nombre:,,,Luis Sanchez,,,,,,,,,,,
Cuenta de trading:,,,"5433224 (USD, 1:100, FxPro-MT5, demo, Netting)",,,,,,,,,,,
Empresa:,,,FxPro Financial Services Ltd,,,,,,,,,,,
Fecha:,,,2022.03.01 09:37,,,,,,,,,,,
Posiciones,,,,,,,,,,,,,,
Fecha/Hora,Posición,Símbolo,Tipo,Volumen,Precio,S / L,T / P,Fecha/Hora,Precio,Comisión,Swap,Beneficio,,
2022.02.22 16:26:11,49102737,WTI,sell,0.01, 92.991,,,2022.02.22 16:28:16, 93.184,0.00,0.00,- 1.93,,
2022.02.22 16:28:59,49102947,WTI,sell,0.01, 93.213,, 93.051,2022.02.22 16:30:18, 93.051,0.00,0.00, 1.62,,
2022.02.25 15:21:38,49252825,WTI,buy,2.01, 92.188,,,2022.02.25 15:27:26, 92.299,0.00,0.00, 222.63,,
2022.02.25 15:40:59,49253809,WTI,buy,0.1, 91.629, 91.529, 92.129,2022.02.25 15:48:30, 91.943,0.00,0.00, 31.40,,
2022.02.25 15:59:32,49254725,WTI,buy,0.1, 91.419, 91.219, 91.919,2022.02.25 16:04:29, 91.217,0.00,0.00,- 20.20,,
2022.02.25 16:09:08,49255292,WTI,buy,0.5, 91.398, 91.086, 91.686,2022.02.25 16:16:26, 91.581,0.00,0.00, 91.20,,
2022.02.25 16:21:04,49255858,WTI,sell,0.1, 91.553, 91.753, 91.353,2022.02.25 16:27:45, 91.769,0.00,0.00,- 21.60,,
2022.02.25 16:29:06,49256133,WTI,sell,0.2, 91.580, 91.880, 91.280,2022.02.25 16:35:44, 91.280,0.00,0.00, 60.00,,
2022.03.01 13:47:10,49346305,WTI,sell,0.5, 98.547, 99.047, 98.047,2022.03.01 13:55:25, 98.486,0.00,0.00, 30.50,,
2022.03.01 14:10:30,49347204,WTI,sell,1, 98.919, 99.372, 98.372,2022.03.01 14:36:10, 99.373,0.00,0.00,- 454.50,,
2022.03.01 14:39:29,49348125,WTI,sell,1, 99.731, 100.231, 99.231,2022.03.01 14:40:16, 100.251,0.00,0.00,- 520.00,,
2022.03.01 14:48:01,49348486,WTI,sell,3.01, 99.868, 100.406, 99.406,2022.03.01 15:01:59, 99.570,0.00,0.00, 896.02,,
2022.03.01 15:10:01,49349625,WTI,sell,1, 99.877, 100.177, 99.577,2022.03.01 15:13:34, 99.553,0.00,0.00, 324.00,,
2022.03.01 15:25:10,49350303,WTI,buy,0.05, 98.916, 98.816, 99.016,2022.03.01 15:25:49, 99.016,0.00,0.00, 5.00,,
2022.03.01 15:26:39,49350349,WTI,buy,0.05, 98.767, 98.567, 98.967,2022.03.01 15:28:00, 98.979,0.00,0.00, 10.60,,
2022.03.01 15:28:49,49350445,WTI,buy,0.05, 98.747, 98.547, 98.947,2022.03.01 15:31:01, 98.959,0.00,0.00, 10.60,,
2022.03.01 15:37:34,49351086,WTI,sell,0.1, 99.260, 100.060, 98.460,2022.03.01 15:44:40, 99.073,0.00,0.00, 18.70,,
2022.03.01 15:49:07,49351621,WTI,sell,0.1, 99.264, 99.464, 99.064,2022.03.01 15:54:15, 99.472,0.00,0.00,- 20.80,,
2022.03.01 15:56:51,49352057,WTI,sell,1, 99.723, 100.023, 99.423,2022.03.01 16:10:48, 99.421,0.00,0.00, 301.50,,
2022.03.01 16:15:39,49353057,WTI,sell,0.5, 99.728, 99.928, 99.528,2022.03.01 16:16:20, 99.931,0.00,0.00,- 101.50,,
2022.03.01 16:16:52,49353123,WTI,sell,1, 99.834, 100.034, 99.634,2022.03.01 16:22:07, 100.034,0.00,0.00,- 200.00,,
2022.03.01 16:23:44,49353358,WTI,sell,2, 100.087, 100.287, 99.887,2022.03.01 16:26:05, 99.872,0.00,0.00, 430.00,,
2022.03.01 16:28:38,49353537,WTI,sell,2, 99.943, 100.043, 99.843,2022.03.01 16:28:56, 100.048,0.00,0.00,- 210.00,,
2022.03.01 16:29:43,49353585,WTI,sell,8, 100.234, 102.234, 98.234,2022.03.01 17:21:25, 100.170,0.00,0.00, 510.00,,
2022.03.01 17:24:28,49359579,WTI,sell,2, 100.945,,,2022.03.01 17:31:12, 101.686,0.00,0.00,-1 482.00,,
2022.03.01 17:31:37,49360064,WTI,sell,0.1, 101.751, 102.011, 101.551,2022.03.01 17:33:58, 102.070,0.00,0.00,- 31.90,,
